AnnualIncome,TotalDebt,Age,PaymentHistory,Creditworthy
57450.71229516849,22783.61076166638,45,2,0
47926.03548243223,9488.142836714665,47,0,1
59715.32807151039,6818.0111657769285,26,0,0
72845.44784612038,14966.25542589048,56,0,1
46487.69937914996,13298.153774750715,48,2,0
46487.945645762295,10467.719506727248,38,2,1
73688.19223261088,21963.874474567154,64,1,1
61511.52093729363,24553.05208570511,51,0,0
42957.88421097572,15884.068862918473,48,2,1
58138.40065378947,29775.300810552617,69,1,1
43048.734607813065,3583.1088586649494,42,1,1
43014.05369644615,13063.40540720282,29,2,1
53629.43407349051,7831.776793971951,18,2,1
21300.79633013303,0.0,39,0,0
24126.23251230451,14173.193141573007,57,0,0
41565.68706138541,13782.524916167165,54,2,1
34807.53319498364,30134.49743242131,64,1,0
54713.709988929106,21308.116845547775,18,0,0
36379.638867181835,4758.131756707951,18,0,0
28815.44447997063,33540.925663341885,59,0,0
71984.7315338233,27210.33695525353,59,1,1
46613.355492701965,20820.97703468616,38,2,0
51012.92307031886,12735.15901150168,32,1,1
28628.77720679815,5405.607632765203,34,1,1
41834.25913212226,11277.93223928947,39,2,1
51663.83884564799,25887.48619704186,55,2,1
32735.09633866546,33845.86305934609,52,2,0
55635.47027518508,30432.43528272189,62,2,1
40990.419651217926,10111.50578213726,33,0,0
45624.593753100846,3803.825667109888,25,2,0
40974.40081655905,16408.86246911204,64,1,1
77784.17276763407,0.0,34,2,1
49797.541628930994,18231.677141847817,34,1,0
34134.3360656615,13523.974137013312,43,2,0
62338.173681547836,10339.634981317577,30,2,1
31687.345250434668,0.0,34,1,1
53132.95392507133,20136.001065697164,55,2,1
20604.948141803365,9672.991603380886,34,2,0
30077.209266523543,3300.8316428971193,65,2,1
52952.91853803685,0.0,31,0,1
61076.99869993116,14724.850949493637,62,2,1
52570.524217849554,32722.51596669744,23,1,0
48265.27576417639,31612.5921454787,52,0,0
45483.444566160666,10429.03743413728,63,1,1
27822.17014448859,8977.879396382195,31,1,0
39202.33687407937,19687.742560750237,64,2,0
43090.41843560319,5016.145608117085,25,1,0
65856.83339328374,18017.91899819466,32,2,1
55154.27434352692,22660.802783846902,44,0,0
23554.39766955899,27269.332238843075,30,1,0
54861.25954092192,13998.459235200473,66,1,1
44223.76579375525,12963.26249823034,48,1,0
39846.169995410615,6220.174132434389,52,0,0
59175.14433261302,6731.1964596014,23,0,0
65464.99283743926,12735.211080984733,22,2,1
63969.20178674298,18673.65506816178,39,1,0
37411.73715166042,24135.846262332496,66,1,0
